task_id,demo,T_full,fraction,T_used,rho
0,demo_0,138,1.0,138,0.8416444248599848
0,demo_0,138,0.5,69,0.6024479356960176
0,demo_0,138,0.3,41,0.9486062717770036
0,demo_0,138,0.15,21,0.9987012987012988
0,demo_1,138,1.0,138,0.9018788143081218
0,demo_1,138,0.5,69,0.3710997442455244
0,demo_1,138,0.3,41,0.8902439024390244
0,demo_1,138,0.15,21,0.996103896103896
0,demo_10,130,1.0,130,0.9225935080364337
0,demo_10,130,0.5,65,0.700305944055944
0,demo_10,130,0.3,39,0.9631578947368421
0,demo_10,130,0.15,20,0.9969924812030074
0,demo_11,127,1.0,127,0.9722886201724784
0,demo_11,127,0.5,64,0.9043040293040292
0,demo_11,127,0.3,38,0.908305066199803
0,demo_11,127,0.15,19,0.9842105263157893
0,demo_12,138,1.0,138,0.9610309847964218
0,demo_12,138,0.5,69,0.7752283522104495
0,demo_12,138,0.3,41,0.9247386759581884
0,demo_12,138,0.15,21,0.9909090909090909
0,demo_13,128,1.0,128,0.923657526094122
0,demo_13,128,0.5,64,0.4850274725274725
0,demo_13,128,0.3,38,0.8798555640660902
0,demo_13,128,0.15,19,0.9982456140350877
0,demo_14,128,1.0,128,0.9847784288591832
0,demo_14,128,0.5,64,0.9441391941391941
0,demo_14,128,0.3,38,0.9067731699310646
0,demo_14,128,0.15,19,0.9964912280701754
0,demo_15,140,1.0,140,0.9268023878769327
0,demo_15,140,0.5,70,0.6171813489633452
0,demo_15,140,0.3,42,0.9766631553358724
0,demo_15,140,0.15,21,1.0
0,demo_16,185,1.0,185,0.864468746446306
0,demo_16,185,0.5,92,0.751290784951374
0,demo_16,185,0.3,56,0.2044429254955571
0,demo_16,185,0.15,28,0.9332238642583469
0,demo_17,195,1.0,195,0.8637200796258233
0,demo_17,195,0.5,98,0.6140491810594904
0,demo_17,195,0.3,58,0.6509274354794058
0,demo_17,195,0.15,29,0.9916256157635467
0,demo_18,126,1.0,126,0.9559775028121485
0,demo_18,126,0.5,63,0.8790802611367128
0,demo_18,126,0.3,38,0.9919028340080971
0,demo_18,126,0.15,19,0.9982456140350877
0,demo_19,127,1.0,127,0.921857424071991
0,demo_19,127,0.5,64,0.646062271062271
0,demo_19,127,0.3,38,0.9853375642849327
0,demo_19,127,0.15,19,0.9842105263157893
0,demo_2,151,1.0,151,0.7727605437434646
0,demo_2,151,0.5,76,0.5927546138072454
0,demo_2,151,0.3,45,0.9173913043478259
0,demo_2,151,0.15,23,0.991106719367589
0,demo_20,116,1.0,116,0.9321954407411679
0,demo_20,116,0.5,58,0.8157433326155834
0,demo_20,116,0.3,35,0.9915966386554622
0,demo_20,116,0.15,17,1.0
0,demo_21,128,1.0,128,0.8507370444973449
0,demo_21,128,0.5,64,0.7326923076923076
0,demo_21,128,0.3,38,0.9844621949885108
0,demo_21,128,0.15,19,0.9964912280701754
0,demo_22,129,1.0,129,0.930718917710197
0,demo_22,129,0.5,64,0.7985805860805859
0,demo_22,129,0.3,39,0.9777327935222673
0,demo_22,129,0.15,19,0.9929824561403509
0,demo_23,137,1.0,137,0.9488584389642877
0,demo_23,137,0.5,68,0.7463831736458372
0,demo_23,137,0.3,41,0.7914634146341465
0,demo_23,137,0.15,21,0.9935064935064933
0,demo_24,153,1.0,153,0.8730013536515083
0,demo_24,153,0.5,76,0.6287901572112099
0,demo_24,153,0.3,46,0.8637064446500153
0,demo_24,153,0.15,23,0.9812252964426879
0,demo_25,160,1.0,160,0.8864086487753429
0,demo_25,160,0.5,80,0.7243553680262542
0,demo_25,160,0.3,48,0.9596178897090751
0,demo_25,160,0.15,24,0.9982608695652172
0,demo_26,128,1.0,128,0.8979811389855338
0,demo_26,128,0.5,64,0.8430860805860806
0,demo_26,128,0.3,38,0.9404748878433089
0,demo_26,128,0.15,19,0.9947368421052631
0,demo_27,156,1.0,156,0.9326642537655482
0,demo_27,156,0.5,78,0.8634024203644456
0,demo_27,156,0.3,47,0.9619565217391306
0,demo_27,156,0.15,23,0.9891304347826088
0,demo_28,187,1.0,187,0.9372951526651717
0,demo_28,187,0.5,94,0.7643896976483763
0,demo_28,187,0.3,56,0.38311688311688313
0,demo_28,187,0.15,28,0.9704433497536945
0,demo_29,146,1.0,146,0.8490556033817711
