task_id,demo,T_full,fraction,T_used,rho
0,demo_0,138,1.0,138,0.5043345837452538
0,demo_0,138,0.5,69,0.7472415052977713
0,demo_0,138,0.3,41,0.9945993031358886
0,demo_0,138,0.15,21,0.9766233766233766
0,demo_1,138,1.0,138,0.47416030996212233
0,demo_1,138,0.5,69,0.43697478991596644
0,demo_1,138,0.3,41,0.9848432055749131
0,demo_1,138,0.15,21,0.996103896103896
0,demo_10,130,1.0,130,0.5792767609514762
0,demo_10,130,0.5,65,0.5761363636363636
0,demo_10,130,0.3,39,0.8530364372469635
0,demo_10,130,0.15,20,0.8390977443609022
0,demo_11,127,1.0,127,0.7017892294713161
0,demo_11,127,0.5,64,0.7526556776556775
0,demo_11,127,0.3,38,0.981836087099245
0,demo_11,127,0.15,19,0.9298245614035087
0,demo_12,138,1.0,138,0.4753977839626109
0,demo_12,138,0.5,69,0.6817683595177203
0,demo_12,138,0.3,41,0.9097560975609759
0,demo_12,138,0.15,21,0.9792207792207792
0,demo_13,128,1.0,128,0.5972214870529582
0,demo_13,128,0.5,64,0.8369505494505494
0,demo_13,128,0.3,38,0.9525112156691103
0,demo_13,128,0.15,19,0.9649122807017543
0,demo_14,128,1.0,128,0.39145188610144654
0,demo_14,128,0.5,64,0.8194597069597069
0,demo_14,128,0.3,38,0.9179341284604442
0,demo_14,128,0.15,19,0.9947368421052631
0,demo_15,140,1.0,140,0.7428571428571429
0,demo_15,140,0.5,70,0.37996675706412386
0,demo_15,140,0.3,42,0.7896442751802935
0,demo_15,140,0.15,21,0.9870129870129869
0,demo_16,185,1.0,185,0.6393521852848641
0,demo_16,185,0.5,92,0.5683152751876455
0,demo_16,185,0.3,56,-0.08974709501025291
0,demo_16,185,0.15,28,0.8527640941434045
0,demo_17,195,1.0,195,0.780786224085193
0,demo_17,195,0.5,98,0.896397171802179
0,demo_17,195,0.3,58,0.8226337321972377
0,demo_17,195,0.15,29,0.9123152709359604
0,demo_18,126,1.0,126,0.5584560306808392
0,demo_18,126,0.5,63,0.7508640552995391
0,demo_18,126,0.3,38,0.9960608381661012
0,demo_18,126,0.15,19,0.9964912280701754
0,demo_19,127,1.0,127,0.48329700974878137
0,demo_19,127,0.5,64,0.35888278388278383
0,demo_19,127,0.3,38,0.7376080533975271
0,demo_19,127,0.15,19,0.9491228070175438
0,demo_2,151,1.0,151,0.5425688393168351
0,demo_2,151,0.5,76,0.48226930963773074
0,demo_2,151,0.3,45,0.889459815546772
0,demo_2,151,0.15,23,0.9861660079051384
0,demo_20,116,1.0,116,0.46324530042670975
0,demo_20,116,0.5,58,0.4327724630102434
0,demo_20,116,0.3,35,0.950420168067227
0,demo_20,116,0.15,17,0.9534313725490198
0,demo_21,128,1.0,128,0.5920504486357809
0,demo_21,128,0.5,64,0.6924908424908425
0,demo_21,128,0.3,38,0.8934237881606302
0,demo_21,128,0.15,19,0.9421052631578948
0,demo_22,129,1.0,129,0.42622767529625055
0,demo_22,129,0.5,64,0.6483516483516483
0,demo_22,129,0.3,39,0.9297570850202429
0,demo_22,129,0.15,19,0.9403508771929823
0,demo_23,137,1.0,137,0.6397579663766166
0,demo_23,137,0.5,68,0.8914379509104096
0,demo_23,137,0.3,41,0.7142857142857144
0,demo_23,137,0.15,21,0.9857142857142858
0,demo_24,153,1.0,153,0.4581829391184605
0,demo_24,153,0.5,76,0.38627477785372516
0,demo_24,153,0.3,46,0.9374653098982423
0,demo_24,153,0.15,23,0.9990118577075099
0,demo_25,160,1.0,160,0.7231483651705144
0,demo_25,160,0.5,80,0.7020862634786686
0,demo_25,160,0.3,48,0.9773122014763352
0,demo_25,160,0.15,24,0.957391304347826
0,demo_26,128,1.0,128,0.6665331441127998
0,demo_26,128,0.5,64,0.6494963369963369
0,demo_26,128,0.3,38,0.8446219498851079
0,demo_26,128,0.15,19,1.0
0,demo_27,156,1.0,156,0.7507799781890596
0,demo_27,156,0.5,78,0.5853007751741928
0,demo_27,156,0.3,47,0.9394079555966698
0,demo_27,156,0.15,23,0.9990118577075099
0,demo_28,187,1.0,187,0.8551213210060965
0,demo_28,187,0.5,94,0.6313549832026877
0,demo_28,187,0.3,56,0.3087491455912509
0,demo_28,187,0.15,28,0.9074986316365626
0,demo_29,146,1.0,146,0.5030703826169107
0,demo_29,146,0.5,73,0.8498395655929903
0,demo_29,146,0.3,44,0.9816772374911911
0,demo_29,146,0.15,22,0.9706380575945794
0,demo_3,131,1.0,131,0.46809907649602306
0,demo_3,131,0.5,66,0.7515081932992382
0,demo_3,131,0.3,39,0.8783400809716599
0,demo_3,131,0.15,20,0.9774436090225563
0,demo_30,136,1.0,136,0.6170657614929267
0,demo_30,136,0.5,68,0.8519296102607168
0,demo_30,136,0.3,41,0.9426829268292685
0,demo_30,136,0.15,20,0.956390977443609
0,demo_31,196,1.0,196,0.3447712548510228
0,demo_31,196,0.5,98,0.7858194824321479
0,demo_31,196,0.3,59,0.8942139099941556
0,demo_31,196,0.15,29,0.8448275862068964
0,demo_32,167,1.0,167,0.40868778793531696
0,demo_32,167,0.5,84,0.44007289662853094
0,demo_32,167,0.3,50,0.7445378151260503
0,demo_32,167,0.15,25,0.976923076923077
0,demo_33,139,1.0,139,0.6539702399571026
0,demo_33,139,0.5,70,0.812369871402327
0,demo_33,139,0.3,42,0.996110525889312
0,demo_33,139,0.15,21,0.9987012987012988
0,demo_34,146,1.0,146,0.7279387735234925
0,demo_34,146,0.5,73,0.3245273704848673
0,demo_34,146,0.3,44,0.9647639182522902
0,demo_34,146,0.15,22,0.9841897233201583
0,demo_35,143,1.0,143,0.6655339965199119
0,demo_35,143,0.5,72,0.890314489677793
0,demo_35,143,0.3,43,0.9693446088794926
0,demo_35,143,0.15,21,0.9935064935064933
0,demo_36,126,1.0,126,0.7947656542932133
0,demo_36,126,0.5,63,0.7779857910906298
0,demo_36,126,0.3,38,0.9058978006346428
0,demo_36,126,0.15,19,0.9526315789473684
0,demo_37,133,1.0,133,0.48814539741483964
0,demo_37,133,0.5,66,0.9105730090804718
0,demo_37,133,0.3,40,0.9373358348968105
0,demo_37,133,0.15,20,0.9624060150375938
0,demo_38,128,1.0,128,0.9048537355795642
0,demo_38,128,0.5,64,0.7949175824175823
0,demo_38,128,0.3,38,0.9840245103402997
0,demo_38,128,0.15,19,0.9701754385964911
0,demo_39,123,1.0,123,0.7578323509305956
0,demo_39,123,0.5,62,0.6858301226360454
0,demo_39,123,0.3,37,0.7290184921763868
0,demo_39,123,0.15,18,0.977296181630547
0,demo_4,141,1.0,141,0.8027398433152103
0,demo_4,141,0.5,70,0.6214154492170414
0,demo_4,141,0.3,42,0.9295032817437809
0,demo_4,141,0.15,21,0.9636363636363635
0,demo_40,150,1.0,150,0.6785030445797591
0,demo_40,150,0.5,75,0.8876813655761023
0,demo_40,150,0.3,45,0.9769433465085638
0,demo_40,150,0.15,22,0.9875776397515529
0,demo_41,136,1.0,136,0.5255140499021993
0,demo_41,136,0.5,68,0.7955872809863724
0,demo_41,136,0.3,41,0.9247386759581884
0,demo_41,136,0.15,20,0.9864661654135337
0,demo_42,131,1.0,131,0.45934981049484863
0,demo_42,131,0.5,66,0.535873082141739
0,demo_42,131,0.3,39,0.9919028340080972
0,demo_42,131,0.15,20,0.9924812030075187
0,demo_43,130,1.0,130,0.5231069658195523
0,demo_43,130,0.5,65,0.7984265734265734
0,demo_43,130,0.3,39,0.8105263157894738
0,demo_43,130,0.15,20,0.9924812030075187
0,demo_44,137,1.0,137,0.4852223444735419
0,demo_44,137,0.5,68,0.5875481925411307
0,demo_44,137,0.3,41,0.8846689895470384
0,demo_44,137,0.15,21,0.9636363636363635
0,demo_45,136,1.0,136,0.5506941462716474
