task_id,demo,T,rho
0,demo_0,138,0.9438444160069712
0,demo_1,138,0.8555260520241376
0,demo_10,130,0.8913420794257576
0,demo_11,127,0.972757231787403
0,demo_12,138,0.8890657071296311
0,demo_13,128,0.9891045596044681
0,demo_14,128,0.941831520292844
0,demo_15,140,0.9632916983831747
0,demo_16,185,0.9001907153628125
0,demo_17,195,0.8542826612677151
0,demo_18,126,0.9687438132591413
0,demo_19,127,0.9219024854025069
0,demo_2,151,0.8102474729871034
0,demo_20,116,0.9526330256166471
0,demo_21,128,0.9145287529318793
0,demo_22,129,0.9349116726296961
0,demo_23,137,0.9125509001623315
0,demo_24,153,0.9250097168053824
0,demo_25,160,0.9471485315458209
0,demo_26,128,0.9290636574464413
0,demo_27,156,0.8665918033368302
0,demo_28,187,0.9312524688359911
0,demo_29,146,0.8256192833911664
0,demo_3,131,0.9693909144290822
0,demo_30,136,0.9666869026853192
0,demo_31,196,0.6157492205488806
0,demo_32,167,0.9167935646643351
0,demo_33,139,0.908878656060752
0,demo_34,146,0.898372647443996
0,demo_35,143,0.9735934928735785
0,demo_36,126,0.9572642137702274
0,demo_37,133,0.86890930120823
0,demo_38,128,0.9306357885378131
0,demo_39,123,0.9921321793863099
0,demo_4,141,0.9271863675400486
0,demo_40,150,0.8731819191964089
0,demo_41,136,0.9086682616987392
0,demo_42,131,0.8436288901937757
0,demo_43,130,0.9454872201825381
0,demo_44,137,0.9524997404001324
0,demo_45,136,0.7694656379300806
0,demo_46,124,0.8641002804142883
0,demo_47,127,0.9440616797900262
0,demo_48,143,0.8995042516169275
0,demo_49,129,0.9706269155685291
0,demo_5,139,0.8530487491729393
0,demo_6,121,0.8056157702208371
0,demo_7,141,0.9434992936341452
0,demo_8,125,0.851691016423457
0,demo_9,158,0.9575497674033454
1,demo_0,94,0.8675969641965512
1,demo_1,99,0.6767079573905374
1,demo_10,96,0.8469293977248977
1,demo_11,93,0.7555084730009626
1,demo_12,111,0.6093186819104529
1,demo_13,94,0.584577482854238
1,demo_14,123,0.7272952989658059
1,demo_15,102,0.7401880679215836
1,demo_16,97,0.8302283762549341
1,demo_17,114,0.6634886433648043
1,demo_18,104,0.6618513915136929
1,demo_19,106,0.650484042836643
1,demo_2,110,0.6350021414241598
1,demo_20,119,0.7779368250185518
1,demo_21,92,0.7009336071658121
1,demo_22,104,0.840605145670478
1,demo_23,100,0.7265630156927428
1,demo_24,100,0.903110439074439
1,demo_25,104,0.6975143832058083
1,demo_26,92,0.702235956403485
1,demo_27,104,0.6771347334713516
1,demo_28,102,0.7165656868400512
1,demo_29,91,0.7937792147027806
1,demo_3,97,0.6617136545339786
1,demo_30,108,0.8162203745494929
1,demo_31,114,0.7687506708074953
1,demo_32,90,0.8824618880151461
1,demo_33,103,0.6076599296576788
1,demo_34,98,0.5901776265695812
1,demo_35,92,0.8300434244910978
1,demo_36,99,0.5201624000099079
1,demo_37,91,0.6727690427232921
1,demo_38,103,0.6395758456066963
1,demo_39,99,0.6009152752009894
1,demo_4,104,0.6640243251893737
1,demo_40,115,0.7585778342543928
1,demo_41,95,0.5932761522858006
1,demo_42,98,0.5901637254021812
1,demo_43,102,0.8415088578929861
1,demo_44,95,0.8248155770065771
1,demo_45,98,0.6951956212848296
1,demo_46,119,0.5829796325309786
1,demo_47,115,0.7187800836423894
1,demo_48,91,0.8278866061474759
1,demo_49,106,0.4916970637494137
1,demo_5,99,0.6414510912373205
1,demo_6,112,0.6269232986895825
1,demo_7,92,0.6833018021019315
1,demo_8,101,0.5966994662211269
1,demo_9,94,0.7661191565962516
2,demo_0,93,0.7439823639392719
2,demo_1,130,0.8695158189160205
2,demo_10,104,0.8300299531394968
2,demo_11,99,0.8114001589406723
2,demo_12,90,0.9634852039346421
2,demo_13,93,0.7580346751812838
2,demo_14,100,0.8170921604962084
2,demo_15,116,0.8027939983682829
2,demo_16,92,0.8773388614216737
2,demo_17,114,0.8489598204991395
2,demo_18,129,0.8228774758484793
2,demo_19,115,0.6468239564428312
2,demo_2,87,0.8649252065282905
2,demo_20,104,0.8596820655073083
2,demo_21,101,0.9412343694648247
2,demo_22,101,0.8725476777779505
2,demo_23,120,0.8756302521008402
2,demo_24,121,0.6456825729628771
2,demo_25,100,0.8358355835583557
2,demo_26,104,0.7440933750952725
2,demo_27,100,0.8061110294396601
2,demo_28,114,0.7117543660752413
2,demo_29,146,0.5402144940173136
2,demo_3,123,0.7386307023923755
2,demo_30,100,0.7951959051818125
2,demo_31,93,0.7408415924732706
2,demo_32,97,0.7235543574895864
2,demo_33,106,0.6739468321225306
2,demo_34,122,0.8188757554829308
2,demo_35,101,0.8003284808667623
2,demo_36,105,0.647819427276246
2,demo_37,92,0.6962123839454597
2,demo_38,105,0.9060020008519023
2,demo_39,102,0.6276067584364529
2,demo_4,105,0.652954592577234
2,demo_40,110,0.8214837172523118
2,demo_41,127,0.7161996101075274
2,demo_42,137,0.46794956310535873
2,demo_43,92,0.8026540387159713
2,demo_44,90,0.8502860435444705
2,demo_45,128,0.7863932109244012
2,demo_46,142,0.82021959783402
2,demo_47,107,0.65772735846442
2,demo_48,92,0.7309772975972133
2,demo_49,116,0.8078476297397574
2,demo_5,93,0.8822094402787969
2,demo_6,116,0.8443250163040634
2,demo_7,113,0.7585974586596067
2,demo_8,107,0.8874684065126668
2,demo_9,100,0.7970380949273645
3,demo_0,170,0.751957430544144
3,demo_1,187,0.39530405763481347
3,demo_13,190,0.6339449894608821
3,demo_14,178,0.596278968325444
3,demo_15,185,0.8824493787667234
3,demo_17,177,0.8369408791004848
3,demo_18,184,0.5355468108549937
3,demo_19,196,0.8288532522434838
3,demo_20,185,0.36912301383873697
3,demo_21,170,0.581012259377961
3,demo_23,200,0.8546956494356717
3,demo_25,188,0.715698659849869
3,demo_27,184,0.5428700495755341
3,demo_29,202,0.8018434924183934
3,demo_3,199,0.5354582565146908
3,demo_30,199,0.47676064434564225
3,demo_32,199,0.5805750649364912
3,demo_33,203,0.6572947516191149
3,demo_34,198,0.08231531982806341
3,demo_35,186,0.8812509761619554
3,demo_38,183,0.5285821773446989
3,demo_39,184,0.09967458680432684
3,demo_40,187,0.1709185335395527
3,demo_41,178,0.7982411390706124
3,demo_42,204,0.7122991122400733
3,demo_43,194,0.4966612880779775
3,demo_44,195,0.8748173215589012
3,demo_46,190,0.6765135815352925
3,demo_5,176,0.6552310870531657
3,demo_6,178,0.7388160019116563
3,demo_7,202,0.6417220948700803
3,demo_8,184,0.6352830239611942
3,demo_9,173,0.5093930744693271
4,demo_0,91,0.7462842263326644
4,demo_1,110,0.5199942294046911
4,demo_10,88,0.7203018575580432
4,demo_11,105,0.5276487663280116
4,demo_12,98,0.8043112353714863
4,demo_13,103,0.7048519111411029
4,demo_14,101,0.4636588924273953
4,demo_15,105,0.7362138093892893
4,demo_16,97,0.7058459980773928
4,demo_17,90,0.86281676118971
4,demo_18,105,0.5794644916681593
4,demo_19,119,0.7568936048995871
4,demo_2,99,0.6207150322631516
4,demo_20,100,0.7423266866421474
4,demo_21,105,0.6502573619067344
4,demo_22,109,0.6652410926741341
4,demo_23,91,0.6509951942874932
4,demo_24,108,0.6650010598613177
4,demo_25,103,0.7863199051091684
4,demo_26,93,0.7307858731659019
4,demo_27,99,0.7211339552723258
4,demo_28,91,0.6111133231068345
4,demo_29,90,0.774436244959619
4,demo_3,123,0.520364500539589
4,demo_30,103,0.7863516801049906
4,demo_31,102,0.7799704833435347
4,demo_32,100,0.6588898889888988
4,demo_33,112,0.567040382690375
4,demo_34,142,0.42143171483149594
4,demo_35,96,0.6620409935632645
4,demo_36,97,0.7314202683555954
4,demo_37,99,0.7901051329622758
4,demo_38,87,0.72630178443543
4,demo_39,98,0.622315872704681
4,demo_4,86,0.6072267559790556
4,demo_40,97,0.700268251630549
4,demo_41,104,0.605796467502845
4,demo_42,95,0.5587074287701449
4,demo_43,96,0.6289338035811177
4,demo_44,90,0.5435096658467479
4,demo_45,93,0.7346271919241519
4,demo_46,148,0.3935247610702562
4,demo_47,120,0.3839668308088348
4,demo_48,98,0.6195086341309843
4,demo_49,98,0.6350522956898287
4,demo_5,96,0.6890622933514031
4,demo_6,102,0.5930924902884349
4,demo_7,106,0.7378107610441352
4,demo_8,96,0.7742591851723473
4,demo_9,110,0.6834208687419697
5,demo_0,155,0.9389673857886344
5,demo_1,128,0.8657526094121955
5,demo_11,144,0.8239639337315605
5,demo_12,142,0.941661663424244
5,demo_13,151,0.933661438937352
5,demo_14,178,0.821971470155626
5,demo_15,136,0.8755042114051228
5,demo_17,134,0.95956677710118
5,demo_18,167,0.872339658033331
5,demo_19,163,0.9452763959387857
5,demo_2,125,0.7650776192896912
5,demo_20,175,0.8999276196737158
5,demo_21,149,0.7967328074252313
5,demo_22,147,0.8897477309019549
5,demo_23,129,0.9476505864982794
5,demo_24,169,0.9387585634219419
5,demo_25,153,0.9239322367877737
5,demo_26,145,0.9421269962559068
5,demo_28,147,0.9232935709647278
5,demo_29,136,0.9519356804735559
5,demo_3,200,0.821005372398476
5,demo_30,142,0.9590561411618116
5,demo_31,135,0.9137206126231588
5,demo_32,115,0.7833993202085002
5,demo_33,126,0.8643852484227921
5,demo_34,154,0.9042024234232771
5,demo_35,169,0.9137820441131222
5,demo_36,145,0.8314750265230765
5,demo_37,203,0.7980621193391578
5,demo_38,134,0.5297685252164885
5,demo_39,146,0.9736861385805167
5,demo_4,193,0.9350594503836447
5,demo_40,128,0.9422093658748221
5,demo_41,188,0.7678043653197593
5,demo_42,130,0.9595091555392137
5,demo_43,182,0.841658795557484
5,demo_44,143,0.8222241373649823
5,demo_45,132,0.9645335117818935
5,demo_46,138,0.812698492427892
5,demo_47,141,0.8846854039775598
5,demo_48,183,0.8299077425599816
5,demo_49,118,0.7869584668738605
5,demo_5,117,0.9474216607472011
5,demo_6,154,0.938870630022931
5,demo_7,123,0.7283432702546224
5,demo_8,139,0.9140308191425894
5,demo_9,146,0.9642081112085837
6,demo_0,92,0.8836675246212412
6,demo_1,113,0.563623358387969
6,demo_10,107,0.6073865445445253
6,demo_11,98,0.6688704988404839
6,demo_12,136,0.4229999940440301
6,demo_13,96,0.7237464138722969
6,demo_14,106,0.8451239265561404
6,demo_15,86,0.6726858469146353
6,demo_16,105,0.6466185290286384
6,demo_17,107,0.7725265548316593
6,demo_18,96,0.8727851084732379
6,demo_19,92,0.571608016002332
6,demo_2,103,0.6692695891986272
6,demo_20,109,0.8325641738485775
6,demo_21,169,0.8112560430318573
6,demo_22,95,0.6584266517357223
6,demo_23,152,0.7991597091005607
6,demo_24,104,0.8048565156769153
6,demo_25,108,0.7719015783591451
6,demo_26,147,0.8115395876439455
6,demo_27,113,0.6385293402130965
6,demo_28,95,0.7189230047978769
6,demo_29,104,0.7875268725540013
6,demo_3,104,0.8165754020484564
6,demo_30,95,0.7310171543932851
6,demo_31,95,0.6580113242835034
6,demo_32,85,0.8014676784280645
6,demo_33,111,0.5943576693576694
6,demo_34,107,0.6470542134446208
6,demo_35,96,0.8133560773217725
6,demo_36,94,0.6014471027279885
6,demo_37,96,0.7447911014650026
6,demo_38,103,0.8590193462071389
6,demo_39,131,0.5099657953574463
6,demo_4,94,0.7015377724200395
6,demo_40,135,0.5835054714325016
6,demo_41,90,0.6754441924747189
6,demo_42,112,0.8631900399420991
6,demo_43,104,0.5884028592766457
6,demo_44,99,0.7666714080011051
6,demo_45,113,0.6604841493342983
6,demo_46,114,0.7001601840524344
6,demo_47,110,0.7284768510649474
6,demo_48,135,0.6331983055289184
6,demo_49,102,0.8419314618878379
6,demo_5,92,0.6218240666003618
6,demo_6,110,0.6973619849035704
6,demo_7,95,0.6744145355438936
6,demo_8,99,0.7547155809554533
6,demo_9,95,0.8024790294293305
7,demo_0,80,0.9639765821577987
